"autonomous_system_number";"autonomous_system_organization"
11679;"Stihl Inc."
11680;"Hewlett-Packard Company"
11681;"Integrity Networks"
11685;"Huntington National Bank"
11686;"Education Networks of America"
11687;"City of Hope Medical Center"
11688;"Lightstream Communications, Inc."
11690;"Cognizant"
11691;"Evocative, Inc."
11692;"Carewise Health, Inc."
11693;"HC Cable OPCO, LLC"
11694;"Universidad Simon Bolivar"
11696;"NBS"
11698;"WESTERN IOWA TELEPHONE ASSOCIATION (A COOPERATIVE)"
11699;"UniVoIP Inc."
11700;"WEDnet"
11702;"ConneXon Telecom"
11706;"Terra Networks Brasil S.A."
11708;"City of North Kansas City, MO"
11709;"VIRTUAL INTERACTIVE CENTER"
11710;"ABBA TECHNOLOGIES"
11711;"TULAROSA COMMUNICATIONS, INC."
11712;"AT&T Services, Inc."
11713;"Granite Block Global Data Center, Inc"
11714;"NETWORK NEBRASKA - Network Nebraska"
11716;"William O'Neil & Company"
11719;"Eaton Corporation"
11720;"Independent Bank Corporation"
11721;"TOTAL MERCHANT SERVICES"
11722;"Westelcom Internet, Inc."
11724;"Comptroller of the Currency"
11726;"WB Games Inc."
11727;"Bruce Telecom"
11728;"LUCN LLC"
11729;"Vista Higher Learning, Inc."
11730;"Progressive Finance"
11731;"Weston Solutions, Inc."
11732;"INGRAM ENTERTAINMENT INC."
11733;"E. & J. Gallo Winery Inc."
11734;"Connectria"
11736;"University of South Dakota"
11737;"Nu-Age Managed Services, LLC"
11738;"Mayo Investment Advisers, LLC"
11740;"Progressive Casualty Insurance Companies"
11741;"BENTON REA POWERNET"
11742;"SpotXchange, Inc."
11743;"EBSCO Industries, Inc."
11744;"INVESTEC"
11745;"University System of New Hampshire"
11746;"Waggener Edstrom"
11750;"Interdotnet Argentina S.A."
11751;"INSTITUTO CYBER DE ENSINO E PESQUISA"
11753;"Pennsylvania Online"
11756;"Children's Hospital Los Angeles"
11757;"Whirlpool Corporation"
11758;"IRIS Networks"
11759;"The Canine Companies Inc."
11760;"Connecticut Housing Finance Authority"
11763;"MitoTec"
11765;"Netsurion LLC"
11766;"Meriplex Communications, Ltd."
11767;"Quality Technology Services Miami, LLC"
11768;"Vontobel Asset Management INC"
11769;"Mobilenetics Corporation"
11770;"Net 56, Inc."
11772;"Client Instant Access, LLC"
11773;"The University Of Texas M.D. Anderson Cancer Center"
11774;"Broadvox, LLC"
11776;"Atlantic Broadband Finance, LLC"
11777;"North Carolina Adminstrative Office of the Courts"
11779;"Morris Communications Corporation"
11780;"Basin Networking"
11781;"TradeGlobal, LLC"
11782;"Perfecto Mobile Inc"
11783;"Brooklyn Law School"
11784;"AV8 Internet, Inc"
11787;"Supreme Court of Pennsylvania"
11790;"Random House, Inc."
11791;"IdenTrust"
11793;"Level 3 Parent, LLC"
11794;"Strategic Legal Solutions"
11795;"Sony Computer Entertainment America LLC"
11796;"Airstream Communications, LLC"
11798;"Ace Data Centers, Inc."
11802;"Centro de Informatica e Automacao do Estado de SC"
11803;"Omnicell Inc."
11804;"All Mobile Video Inc"
11805;"Home Decor Products, Inc."
11806;"Leepfrog Technologies, Inc."
11807;"Divertissements GameLoft Inc"
11808;"University of Idaho"
11809;"Embry-Riddle University"
11810;"AWeber Systems, Inc."
11811;"Oppenheimer & Co. Inc."
11813;"Natixis North America LLC"
11814;"DISTRIBUTEL COMMUNICATIONS LTD."
11815;"Cooperativa Telefonica de V.G.G. Ltda."
11816;"SetarNet"
11817;"Stafford Associates Computer Specialists, Inc."
11819;"Smith & Associates"
11820;"Wikimedia Foundation, Inc."
11823;"Lord, Abbett & Co."
11825;"JDRF International"
11826;"Regional Information Sharing Systems (RISS), Office of Information Technology (OIT)"
11827;"Washington State University"
11829;"Cadence Design Systems, Inc."
11830;"Instituto Costarricense de Electricidad y Telecom."
11831;"eSecureData"
11833;"LEAP"
11834;"Drexel University"
11835;"IPE INFORMATICA LTDA"
11838;"Flowers Foods Inc."
11841;"Ultimate Internet Access, Inc"
11842;"Regal Entertainment Group"
11843;"Auravox, LLC"
11844;"NEWSITE INTERNET LTDA"
11845;"Vox-Telecom"
11847;"Mid-Maine Communications, Inc."
11850;"MagsNet LLC"
11851;"The Michener Institute for Applied Health Sciences"
11852;"White House Custom Colour, Inc"
11853;"Internap Network Services Corporation"
11854;"Internap Network Services Corporation"
11855;"Internap Network Services Corporation"
11856;"XConnect Global Networks Ltd."
11857;"Aegon USA, Inc."
11858;"Cm2.com Inc."
11859;"Bracco Diagnostics Inc."
11860;"AEGIS Insurance Services, Inc."
11862;"Radial, Inc."
11863;"Pacific Lutheran University"
11866;"Ellucian Company LP"
11868;"SITA"
11870;"ALTICOR INC"
11872;"Syracuse University"
11874;"Columbus Regional Hospital"
11875;"William Herrin"
11876;"Crawford Media Services, Inc"
11877;"InterCloud Systems, Inc."
11878;"tzulo, inc."
11879;"Advanced Server Management Group, Inc."
11880;"Tickets.com, Inc."
11881;"CNA National Warranty Corporation"
11882;"COMPREHENSIVE HEALTH MANAGEMENT, INC."
11883;"TEGNA Inc."
11884;"SMARTHOME, INC."
11888;"Television Internacional, S.A. de C.V."
11889;"iBasis, Inc."
11890;"iBasis, Inc."
11892;"NCS Pearson Inc."
11893;"Loligo Cache Systems, Inc."
11895;"Kofax, Inc."
11896;"MCA INFORMATICA LTDA."
11897;"Tulsa Community College"
11899;"Measurement Incorporated"
11900;"Datacruz, Inc."
11901;"County of Sacramento"
11903;"Lincolnshire Management, Inc."
11904;"AcenTek"
11910;"LakeNet LLC"
11911;"The Bank of New York Mellon Corporation"
11913;"Colo Group"
11915;"TPx Communications"
11916;"UNDP"
11919;"Telesat Network Services Inc"
11920;"University of Nebraska at Kearney"
11921;"SECRELNET INFORMATICA LTDA"
11922;"RealNetworks, Inc."
11924;"Montana Opticom, LLC"
11925;"Delta Dental of Wisconsin, Inc"
11926;"Hart Software, Inc."
11927;"Advance Publications Inc."
11928;"Hachette Book Group, Inc."
11932;"Breakwater"
11933;"Supply Technologies, LLC"
11934;"Enom Solutions LLC"
11935;"TalkPoint Communications"
11937;"TRX Inc."
11939;"The MathWorks, Inc."
11940;"Direct Supply, Inc."
11941;"Pillsbury Madison & Sutro, Inc."
11942;"IP Global, LLC."
11944;"Webtrends Corporation"
11945;"MCI Communications Services, Inc. d/b/a Verizon Business"
11946;"AdCopy Inc"
11947;"Cablenett Limited"
11948;"Development Group, Inc"
11949;"COZAD TELEPHONE COMPANY"
11951;"Medical Computer Systems"
11954;"Bayview Financial, LP"
11955;"Time Warner Cable Internet LLC"
11956;"NOAA / PMEL"
11958;"USAble Life"
11959;"AEG"
11960;"EMPRESA DE TELECOMUNICACIONES DE CUBA S.A. (IXP CUBA)"
11961;"Mid-Rivers Telephone Cooperative"
11962;"Empire Today LLC"
11963;"PennWell Corporation"
11964;"Air Wisconsin Airlines Corporation"
11966;"GLOBAL DATA SYSTEMS INC."
11967;"W &T Offshore, Inc."
11969;"MACSTEEL SERVICE CENTERS USA, INC."
11970;"e-Tel, LLC"
11971;"Pfizer Inc."
11972;"Asset Management Technologies, Inc."
11973;"Secure Independence, Inc"
11975;"The College of William and Mary"
11976;"Fidelity Communication International Inc."
11978;"Greenspun Corporation"
11979;"Bluegrass Network LLC"
11980;"BDO USA, LLP"
11981;"Special Systems Inc."
11982;"Sandhills Wireless, LLC"
11985;"Social Security Administration"
11988;"CEVA INC."
11990;"Unlimited Net, LLC"
11992;"AT&T Mobility Puerto Rico"
11993;"BANCO DO BRASIL S.A."
11994;"Cruzio"
11995;"Oregon Health & Science University"
11996;"Lobo Internet Services, Ltd"
11998;"Province of New Brunswick"
11999;"REJIS Commission"
12000;"Fidelity Investments"
12001;"Point North Networks, Inc."
12002;"Great Point Partners, LLC"
12004;"Young Living Essential Oils"
12005;"University of South Carolina"
12006;"Broadview Networks, Inc."
12007;"Raytheon Company"
12008;"NeuStar, Inc."
12009;"Eastern Oregon Net, Inc."
12010;"International Financial Data Services (Canada) Ltd."
12012;"Novani, LLC"
12013;"Florida Atlantic University"
12016;"Retirement Housing Foundation"
12017;"CONTINENTAL BROADBAND PENNSYLVANIA, INC."
12018;"OOCL (USA), Inc."
12019;"Network Communications"
12020;"Methodist Hospital of Southern California"
12021;"Rogers Communications Canada Inc."
12022;"Springleaf Finance Inc."
12024;"Advanced Corporate Network"
12025;"IO Capital Princess, LLC"
12028;"MM Internet, Inc."
12031;"Lord Corporation"
12033;"Adams NetWorks, Inc."
12035;"Atlantic Broadband Finance, LLC"
12036;"ISP Associates, Inc. DBA Dixie-Net"
12037;"Federal Deposit Insurance Corporation"
12039;"Time Inc."
12041;"Afilias Canada, Corp."
12042;"Enventis Telecom Inc."
12043;"Robeco Investment Management, Inc."
12044;"Willamette Valley Internet, L.L.C."
12046;"Malta Internet Foundation"
12047;"Gundersen Lutheran Medical Center, Inc."
12048;"Parlant Technology, Inc."
12050;"DIRECTV, LLC"
12051;"City of Escondido"
12052;"VF Services, Inc. Information Technology Services"
12053;"TruMark Financial Credit Union"
12054;"Alameda County"
12055;"Clearbearing Inc."
12056;"Yucca Telecom"
12057;"LiveVox, INC."
12058;""
12059;"Internet Light and Power Inc."
12060;"NAP OF CENTRAL FLORIDA, INC"
12061;"24 Hour Fitness USA, Inc."
12062;"Decision One"
12063;"FIRST SERVICES LP"
12065;"Revo Communications"
12066;"ALTICE DOMINICANA S.A."
12068;"West Corporation"
12069;"Rev.Net Technologies"
12070;"OCLS"
12071;"MCI Communications Services, Inc. d/b/a Verizon Business"
12072;"Aquiline Holdings, LLC"
12073;"Contemporary Computer Services Inc."
12074;"County of Saginaw"
12075;"Jacobs Engineering Group"
12076;"Microsoft Corporation"
12077;"Celerity IT, LLC"
12079;"Cellco Partnership DBA Verizon Wireless"
12081;"Greenheck Fan"
12082;"NWN Corporation"
12083;"WideOpenWest Finance LLC"
12084;"Gigya, Inc."
12085;"Equinix, Inc."
12086;"DT Micro, inc."
12087;"Salsgiver, Inc."
12088;"North American Bancard"
12089;"Conterra"
12090;"AAA National"
12091;"MTNNS-1"
12092;"Sonifi Solutions, Inc."
12093;"University of Waterloo"
12095;"Arizona Science Center"
12096;"AMP Telephones"
12097;"Massillon Cable Communications"
12098;"Union Bank of California"
12099;"OAKWOOD HEALTHCARE INC"
12100;"Lexicon International Inc"
12102;"City of Portland"
12103;"Keynote Systems, Inc."
12104;"State Farm Mutual Automobile Insurance Company"
12105;"DRS Technical Services Inc"
12107;"Dealer Dot Com Inc."
12108;"PROFIT DEVELOPERS INC"
12109;"Technology Investors, Inc."
12110;"Internex Inc."
12111;"Visionary Communications, Inc."
12112;"HickoryTech Corporation"
12113;"Dawn Food Products, Inc."
12115;"Financial Network, Inc."
12116;"Federal Home Loan Bank of Dallas"
12118;"West Virginia University"
12119;"ITV-3"
12120;"Amphenol Corp"
12121;"Internet Access Service, Inc."
12122;"AT&T Services, Inc."
12123;"R&K Solutions, Inc."
12125;"Zebrafish Labs Inc."
12126;"Sprint"
12127;"Telefonica Moviles El Salvador S.A. de C.V."
12128;"Thomson Reuters U.S. LLC"
12129;"123.Net, Inc."
12130;"Bandwidth.com CLEC LLC"
12132;"Quebec Internet Inc"
12133;"LISCO"
12134;"Manufacturers and Traders Trust Company"
12135;"Prointernet do Brasil Ltda"
12136;"NIC.br - Nucleo de Informacao e Coordenacao do .BR"
12137;"LightHouse Business Information Solutions, LLC"
12138;"Tax AirFreight, Inc."
12140;"Lanis Ltda"
12141;"Epoch Systems, Inc."
12142;"Sullivan & Cromwell"
12143;"RAHA LTD"
12144;"Cloud Grid Computing"
12145;"Colorado State University"
12147;"Discover Financial Services"
12148;"Clemson University"
12150;"COTELCAM"
12151;"Learning Tree International, Inc."
12152;"Ascensus, Inc."
12153;"HBI Branded Apparel Enterprises, LLC"
12154;"InfoUSA"
12155;"Henderson Municipal Power & Light, Inc."
12157;"Element Capital Management LLC"
12158;"ILLUMINA, INC."
12159;"Securities America Inc."
12161;"dao Consulting, LLC"
12162;"DATA DISTRIBUTORS"
12163;"Amherst Holdings LLC"
12165;"Xactware Information Services Inc."
12166;"Other World Computing - OWC"
12169;"IBM Business Recovery Service"
12171;"Fast Enterprises, LLC"
12172;"AT&T Services, Inc."
12173;"The University of Alabama"
12175;"Yelm Telephone Company"
12176;"ICAP Services North America LLC"
12177;"ETS TELEPHONE COMPANY, INC."
12178;"Internap Network Services Corporation"
12179;"Internap Network Services Corporation"
12180;"Internap Network Services Corporation"
12181;"Internap Network Services Corporation"
12182;"Internap Network Services Corporation"
12184;"Forrester Research"
12185;"Thompson, Siegel & Walmsley LLC"
12187;"Metropolitan Tranportation Authority"
12188;"Q9 Networks Inc."
12189;"PhoenixNAP LLC"
12190;"OOCL (USA), Inc."
12191;"City of Lebanon - Lebanon Utilities"
12195;""
12196;"Etsy Inc."
12200;"Rackspace Hosting"
12202;"PINEHURST SURGICAL CLINIC, P.A"
12203;"ASTORIA BANK"
12204;"SCN Research, Inc."
12205;"Sachem Central School District"
12206;"DNP Networks"
12208;"TruVista Communications"
12209;"Girosol, Corp."
12210;"Community West Bank"
12211;"Operations & Compliance Network LLC"
12212;"Ravand Cybertech Inc."
12214;"RapidDSL & Wireless"
12216;"KRAVET INC."
12217;"UNITED PARCEL SERVICE"
12218;"American Institutes for Research"
12219;"Miller's Office Products"
12220;"I-Evolve Technology Services"
12221;"Scottrade, Inc"
12222;"Akamai Technologies, Inc."
12223;"Equivoice LLC"
12226;""
12227;"Dispatch Printing Company"
12228;"21ST CENTURY ONCOLOGY, INC."
12229;"SAS Institute, Inc."
12230;"EDGEWATER NETWORKS, INC"
12231;"Conway Corporation"
12232;""
12233;"Water Street Solutions, Inc."
12234;"MCI Communications Services, Inc. d/b/a Verizon Business"
12235;"SmartEdgeNet LLC"
12236;"Hanover Insurance Group, Inc."
12237;"Apptio Inc"
12238;"AECOM"
12239;"Bloomington Public School District No. 87"
12240;"AT&T Services, Inc."
12241;"Nebraska Central Telephone Company"
12243;"Waddell Solutions Group LLC"
12244;"Supreme Security Systems, Inc."
12245;"Peninsula Regional Medical Center"
12246;"HPM Networks"
12247;"Tri-Rivers Educational Computer Association"
12250;"EDWARD HEALTH SERVICE CORP"
12251;"Invision.com, Inc."
12252;"America Movil Peru S.A.C."
12253;"Leon County Board of County Commisioners"
12254;"Instructure, Inc"
12256;"CityLinq Net Services"
12257;"EMC Corporation"
12258;"Dimension Data (Pty) Ltd - Optinet"
12259;"EBOCOM LLC"
12260;"Colostore.com"
12261;"DTC Communications, Inc."
12263;"Saint Bernard Hospital"
12265;"R2G Services LLC"
12266;"StoreRunner, Inc."
12268;"Elizabethtown College"
12269;"Groupon, Inc."
12271;"Time Warner Cable Internet LLC"
12272;"Medata Inc."
12273;"Transunion Interactive, Inc."
12274;"Fujitsu Consulting, Inc."
12275;"Networkfleet, Inc."
12276;"San Francisco Metropolitan Internet Exchange (SFMIX)"
12278;"North Carolina 811, INC"
12279;"VertitechIT, Inc."
12281;"APAC Customer Services"
12282;"Selectronics Corp."
12283;"First Technology Services"
12285;"One Eleven Internet Services"
12286;"Princeton Healthcare System"
12287;"Afilias Canada, Corp."
12288;"Verlag fuer Neue Medien Data Communications GmbH"
12289;"Svyazekspert LLC."
12290;"Exonetric Consulting Ltd"
12291;"Deutsche Post AG"
12292;"Transkom GmbH"
12296;"ADA-NET Internet ve Iletisim Hizmetleri Tic. A.S."
12297;"VEON Armenia CJSC"
12298;"QIAGEN GmbH"
12301;"Invitech Megoldasok Zrt."
12302;"Vodafone Romania S.A."
12303;"Council of Hungarian Internet Providers"
12305;"G9Telecom S.A."
12306;"Plus.line AG"
12307;"Sandro Bolliger"
12309;"Nouvelle S.r.l"
12310;"iNES GROUP SRL"
12311;"International Atomic Energy Agency"
12312;"ecotel communication ag"
12314;"RopNet"
12315;"Quality Service Provider BV"
12316;"Finanz Informatik Technologie Service GmbH & Co. KG"
12318;"EXANE SA"
12319;"IZFE SA"
12321;"Ibercom Telecom S.A"
12322;"Free SAS"
12324;"Maria Curie-Sklodowska University"
12325;"IPv4 Management SRL"
12326;"Hrvatski Telekom d.d."
12327;"idear4business international LTD"
12328;"Alan Systems Sp. z o. o."
12329;"Telekommunikation Mittleres Ruhrgebiet GmbH"
12330;"MPY Palvelut Oyj"
12331;"Audi AG"
12332;"PJSC Rostelecom"
12333;"DFI Service SA"
12334;"R Cable y Telecomunicaciones Galicia, S.A."
12335;"Tario Communications CJSC"
12337;"noris network AG"
12338;"Euskaltel S.A."
12341;"Ural State Polzunov College"
12342;"Brack.ch AG"
12344;"CZECH IT CLUSTER, druzstvo"
12346;"Maria Curie-Sklodowska University"
12347;"Virtualtec Solutions AG"
12348;"ODN OnlineDienst Nordbayern GmbH & Co. KG"
12350;"VTX Services SA"
12353;"Vodafone Portugal - Communicacoes Pessoais S.A."
12355;"HeLi NET Telekommunication GmbH & Co."
12356;"Universitatea Romano-americana"
12357;"Vodafone Spain"
12360;"KEVAG Telekom GmbH"
12361;"Vodafone-panafon Hellenic Telecommunications Company SA"
12362;"Netplus SAS"
12363;"DADAnet Italia"
12365;"Sarkor-Telecom"
12371;"Avency GmbH"
12372;"Cubic Telecom Limited"
12373;"ENGITEL S.p.A."
12374;"LF.net Netzwerksysteme GmbH"
12379;"ip4 GmbH"
12380;"PJSC Rostelecom"
12381;"Resilans AB"
12384;"Swedish University of Agricultural Sciences"
12386;"Orange Catalunya Xarxes de Telecomunicacions S.A."
12387;"TON Total optical Networks AG"
12388;"Casey CableVision Ltd."
12389;"PJSC Rostelecom"
12390;"Kcom"
12392;"Brutele SC"
12395;"ADISTA SAS"
12397;"Optocom Ltd"
12399;"Scan Plus GmbH"
12400;"Partner Communications Ltd."
12401;"internic Datenkommunikations GmbH"
12404;"Saarbrucker Zeitung Verlag und Druckerei GmbH"
12405;"OJSC Russian Railways"
12406;"Business Network Ltd"
12408;"LLC Bi-Kent"
12409;"H.R.Net SARL"
12413;"Handshake e.V."
12414;"Solcon Internetdiensten B.V."
12415;"Weblink Telecom Ltd"
12417;"DHH d.o.o."
12418;"Quantum CJSC"
12422;"Evonik Industries AG"
12423;"Nicolaus Copernicus University in Torun"
12426;"Slovanet a.s."
12427;"Indeks PK Ltd."
12428;"UniCredit Business Integrated Solutions S.C.p.A."
12429;"Bluewin"
12430;"Vodafone Spain"
12431;"SYBCOM GmbH"
12433;"orbtalk limited"
12436;"Bergon Internet Ltd."
12437;"ICSmedia GmbH"
12438;"Enterpreneur Oshitjer Igor Anatolievich"
12439;"Impromex S.R.L."
12440;"Hughes Network Systems GmbH"
12441;"Cyren Inc"
12442;"Pro Tv S.A."
12443;"Riga Domes Technology Center"
12444;"Telnet Telekom Hizmetleri Anonim Sirketi"
12445;"A2A Smart City S.P.A"
12446;"Eastern Space Systems SRL"
12447;"Ernst Klingler Kabelfernsehen Gmbh"
12450;"Agentia Transcor SRL"
12453;"Bernhard Kraft"
12455;"JAMBONET"
12456;"KL Group LLC"
12459;"United Internet Ltd."
12460;"Mandala Internet EDV Service GmbH"
12463;"S.A. des Bains de Mer et du Cercle des Etrangers a Monaco"
12464;"Politechnika Warszawska"
12465;"Banca di Intermediazione Mobiliare IMI S.p.A."
12466;"Bicos Computer GmbH"
12468;"ABANET"
12470;"Globe Development GmbH"
12472;"Waycom International SASU"
12478;"Digit One LLC"
12479;"Orange Espagne SA"
12480;"ILK Internet.Gmbh"
12481;"Trivenet S.R.L."
12483;"Den Danske Bank A/S"
12484;"Boris Ltd."
12486;"TeleYemen"
12488;"Krystal Hosting Ltd"
12491;"Gilat Satcom"
12494;"OOO Post ltd"
12496;"Infinity Developments Limited"
12498;"FinecoBank SpA"
12499;"JSC Garant-Siberia"
12500;"JSC Ruscentrosvyaz"
12501;"UMDAC, Umea University"
12502;"Dr.-Ing. Nepustil & Co. GmbH"
12505;"Banca Popolare di Milano"
12506;"Inspiring Networks BV"
12507;"Swift Trace ltd."
12508;"Rainside s.r.o."
12509;"Latvijas Banka"
12510;"SAP SE"
12511;"Die Schweizerische Post AG"
12512;"CBXNET combox internet GmbH"
12513;"Kcom Group Plc"
12515;"RSAdvSys"
12516;"Weborama SA"
12517;"Lan-wan I.t Ltd"
12519;"FastNet International Ltd"
12521;"Nova Internet"
12523;"Europages SA"
12524;"Middle East Internet Company Limited"
12525;"INTERNET Ltd."
12527;"Millennium BCP-Prestacao de Servicos ACE"
12529;"Sale For Distribution & Communication Co. Ltd"
12530;"Kyivstar PJSC"
12531;"WLW"
12533;"RMnet S.R.L."
12536;"Console Technology Services Ltd"
12539;"Penki Kontinentai, Ltd."
12540;"IdecNet S.A."
12543;"PVimpelCom"
12545;"Transcom Ltd"
12546;"Kleemann GmbH"
12548;"Viaduk-Telecom, Inc."
12551;"ENEL S.p.A"
12552;"IP-Only Networks AB"
12553;"Andreas Grawehr"
12555;"IMAQLIQ SERVICE Ltd"
12556;"internet-solutions-ke"
12557;"SimpleThings GmbH"
12559;"Bcc Sistemi Informatici S.p.A."
12561;"IX Networks BV io"
12564;"Council of Ministers"
12565;"LDLCAS"
12566;"SFR SA"
12567;"Gaijin Network Ltd"
12569;"Instrumentacion y Componentes, SA"
12570;"itself s.r.o."
12571;"INCAS GmbH"
12572;"Multi Packaging Solutions UK Limited"
12574;"http.net Internet GmbH"
12576;"EE Limited"
12577;"mmc kommunikationstechnologie gmbh"
12578;"SIA Lattelecom"
12579;"Xenologics Networks & Communications GmbH"
12580;"Omnitec Sp. z o.o."
12581;"tops.net GmbH & Co. KG"
12582;"Telia Finland Oyj"
12583;"Stanley UK Services Ltd"
12586;"GHOSTnet GmbH"
12587;"Aizkraukles Banka AS"
12589;"Magyar Posta Zrt"
12590;"The Dot Spot Net Sarl"
12591;"Smartcom Bulgaria AD"
12592;"Trans Tel Services SRL"
12593;"Ukrcom Ltd."
12594;"Externet Nyrt"
12597;"Gotalandsnatet AB"
12598;"Verlagsgruppe Milchstrasse GmbH"
12599;"Atlas On-line"
12600;"Telecitygroup International Limited"
12601;"Cegedim It Sasu"
12605;"LIWEST Kabelmedien GmbH"
12607;"Digital Bros. S.p.A."
12608;"MediaServicePlus LLC"
12610;"Rockenstein AG"
12611;"R-KOM Regensburger Telekommunikationsgesellschaft mbH & Co. KG"
12613;"Firebrick Limited"
12615;"Global Communication Net Plc"
12616;"Filanco, ltd."
12617;"Solido Hosting A/S"
12618;"University of Technology and Life Sciences Bydgoszcz"
12619;"Yediot Information Technologies ltd"
12620;"Ticinocom SA"
12621;"1A Networks Limited"
12622;"LLC Tekhnologii Svyazi"
12625;"Deutsche Boerse AG"
12626;"Societe Francaise du Radiotelephone S.A."
12628;"Jaco Engelbrecht"
12629;"Option Service SAS"
12630;"Otaverkko Oy"
12632;"RCS & RDS"
12637;"SEEWEB s.r.l."
12638;"E-Plus Mobilfunk GmbH"
12639;"Markason Ltd"
12642;"P.W.U. INET Sp. z o.o."
12643;"Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V."
12644;"Telemach d.o.o."
12645;"Cap'Mediatel SARL"
12646;"ESOTEL-Rustelcom Ltd."
12648;"ZELTELECOM Ltd."
12649;"Banque Pictet & Cie SA"
12650;"Il Sole 24 Ore SpA"
12651;"IP worldcom SA"
12653;"KB Impuls Hellas S.A."
12654;"Reseaux IP Europeens Network Coordination Centre (RIPE NCC)"
12657;"BayCIX GmbH"
12658;"Dexterity Networks Limited"
12659;"European Backbone Networks Inc."
12660;"Sharif University Of Technology"
12662;"FOP Petrushenko Sergiy Petrovich"
12663;"Vodafone Italia S.p.A."
12664;"DAB bank AG"
12665;"Medien System Haus"
12666;"InterXion Holding NV"
12668;"LLC KomTehCentr"
12669;"OAO Brokerage Firm Unity Trust"
12670;"Completel"
12672;"Ringier Print SRL"
12675;"Alexandru Ioan Cuza University"
12676;"HKN GmbH"
12678;"Greysom Limited"
12679;"Iceberg Telecom Ltd."
12680;"Gruner+Jahr GmbH & Co KG"
12683;"PJSC Rostelecom"
12684;"Ses Astra S.A."
12685;"Sibitex Ltd"
12686;"Open Joint Stock Commercial Bank Rosbank (OJSC)"
12687;"Association of users of Ukrainian Research & Academic Network URAN"
12688;"Closed Joint Stock Company TransTeleCom"
12690;"CJSC International Communications Company"
12693;"e.discom Telekommunikation GmbH"
12695;"JSC Digital Network"
12696;"GIE AXA Technology Services France"
12697;"Tose Masiryabi Shabake Aria PJSC"
12700;"Komertsiyno Virobnitcha Firma VEKTOR"
12701;"Barclays Bank plc"
12703;"Pulsant (Scotland) Ltd"
12706;"Public JSC First Ukrainian International Bank"
12707;"Caberfeidh (UK) Ltd"
12708;"TalkTalk"
12709;"Melita plc."
12713;"OTE Global Solutions SA"
12714;"Net By Net Holding LLC"
12715;"Orange Espagne S.A.U."
12716;"Mobiltel Ead"
12722;"RECONN. Operator Svyazi, LLC"
12724;"Prokhorov General Physics Institute, Russian Academy of Sciences, RAS (GPI)"
12726;"Lufthansa Airplus Servicekarten GmbH"
12727;"Regie Municipale De Colmar"
12729;"Hsbc Bank Anonim Sirketi"
12730;"PJSC Rostelecom"
12731;"IPHH Internet Port Hamburg GmbH"
12732;"GutCon GmbH"
12734;"Fiat Information Technology, Excellence and Methods S.p.A."
12735;"TurkNet Iletisim Hizmetleri A.S"
12736;"Israel Airports Authority"
12737;"Right Side+ LCC"
12739;"CJSC Netline"
12740;"Nasdaq Technology AB"
12741;"Netia SA"
12743;"Orange Polska Spolka Akcyjna"
12748;"IAV GmbH Ingenieurgesellschaft Auto und Verkehr"
12750;"Softec AG"
12753;"Teva Pharmaceutical Industries Limited"
12754;"Coolnet New Communication Provider"
12756;"INFOCOM Plc."
12757;"Iptron.net Ou"
12759;"SOCO SoftCom Datensysteme"
12762;"Vorarlberger Informatik- und Telekommunikationsdienstleistungsgesellschaft mbH"
12763;"Honda Europe NV"
12764;"AKNET Ltd."
12765;"Total S.A."
12766;"MAGNA STEYR Fahrzeugtechnik AG und Co KG"
12767;"T-Mobile Czech Republic a.s."
12768;"JSC ER-Telecom Holding"
12770;"Pacific National University, Public Institution"
12772;"JSC ER-Telecom Holding"
12773;"Meshnet ltd."
12774;"Wydawnictwo Naukowe PWN SA"
12775;"JPC Infonet Ltd"
12776;"Bank Vontobel AG"
12777;"Eser Telekom"
12778;"SGN d.o.o."
12779;"IT.Gate S.p.A."
12782;"Uppsala Lans Landsting"
12783;"ENET Shpk"
12785;"ZVD Zavod za varstvo pri delu d.d."
12786;"Hattrick Limited"
12788;"Opened Joint Stock Company National Bureau of Information"
12789;"DMG Media Limited"
12790;"MSN Telecom LLC"
12792;"NetAssist LLC"
12793;"A1 Telekom Austria AG"
12794;"AKBANK TAS"
12795;"Central Cooperative Bank PLC"
12796;"Telecommunication Company Varna EAD"
12797;"BT Italia S.p.A."
12798;"Betvictor Limited"
12802;"Migdal Insurance Company Ltd."
12803;"Telecom Group LLC"
12804;"Adisam Telecom S.A."
12807;"Orange Applications for Business SAS"
12808;"dtms GmbH"
12809;"Norma-press Agency Ltd"
12810;"VIPnet d.o.o."
12812;"AMERICAN UNIVERSITY of BEIRUT"
12813;"WorNet AG"
12815;"Musala Soft Ltd"
12816;"Leibniz-Rechenzentrum"
12817;"GeFoekoM e.V."
12818;"Cloudmark Labs"
12819;"Science Application International Corporation (saic)/nasa Integrated Communications Services"
12822;"LYNET Kommunikation AG"
12823;"KAPPATECH DOO Beograd"
12824;"home.pl S.A."
12826;"Conseils et Systemes Informatiques"
12827;"Wirtualna Polska S.A."
12828;"Institution of the Russian Science Academy Institute of Computational Modeling of Siberian R"
12829;"Angelsoft ET"
12830;"InfraNet AG"
12831;"Technical University of Gdansk, Academic Computer Center TASK"
12833;"Fundacao para a Ciencia e a Tecnologia, I.P."
12834;"Danfoss A/S"
12835;"Trentino Network S.r.l."
12836;"Poisk-telecom LLC"
